"featureid","final_taxonomy"
"a3cf08909e0aa8904185ff0b91815a8f","Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae"
"ae63eeef2d941d94948ba1491930758f","Eukaryota;Platyhelminthes"
"29fd31e306960843a038f3098f6183cb","Eukaryota;Chordata;Mammalia"
"2d0be2b0c6b1b1bfc4251553d4e80877","Eukaryota;Basidiomycota"
"5e868361e4278a29f3cdaa289ee90f45","Eukaryota;Arthropoda;Collembola"
"cb666dd2befde6c1a098cf00701cb855","Eukaryota;Ciliophora;Colpodea;Bursariomorphida;Bursariidae;Bursaria;NA"
"8ac392cc1907c0ddd4ff8e8872bd2811","Eukaryota"
"2a939f9c9de4607b288cafcc0e98bdc4","Eukaryota"
"7fde70d1897c33f3955a882285786698","Eukaryota;Chordata;Actinopteri"
"b791567df284bff84fb65cd7f7ef3666","Eukaryota"
"9afd07a73309e019743eae20a2b7c199","Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae"
"669fbceb1dc58f2dd376ba15d26847d8","Eukaryota"
"41f057be1fd156cdb3f1ab4346ccc139","Eukaryota"
"16eb853ce1eacdbc84543c855eb4934c","Eukaryota;Ascomycota;Eurotiomycetes"
"bfa02181c16eaaefe39a7f2a4f9c1e2f","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"0c980eb375e306d38d4cb4cd7f1ae5c5","Eukaryota;Streptophyta;Magnoliopsida"
"337e5aab0a612027f7263ea5c3687f09","Eukaryota;Chordata;Actinopteri"
"57946eeb9c3cfad9ce439ec5513d1d37","Eukaryota;Annelida;Polychaeta;Xenopneusta;Urechidae;Urechis;Urechis caupo"
"415f7b4e8efad0dd8151c5e3f1dc94fd","Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae"
"5d97393759a7ba185683fed72f893550","Eukaryota;Streptophyta"
"1129b26afa350f4e6d1ae5203303f9a2","Eukaryota"
"fcfaf4ee1b35fa4e7f1afc5c1020cc48","Eukaryota;Streptophyta;Magnoliopsida"
"c50eda97aae3a5672df05261c11b5edb","Eukaryota;Streptophyta;Magnoliopsida"
"508d43ab745bb3f0f106a5cbf6b127cb","Eukaryota;Nematoda;Chromadorea;Rhabditida"
"3f1dffbf6962572a823c2e84af62d47f","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"36bbb60fae3181b048dfa1bde5417693","Eukaryota;Arthropoda"
"026d031ac9ee9194d52db0c06e40f4a9","Eukaryota"
"f432245eec4c0e56ab31594043032911","Eukaryota"
"15bbdfa92db91839ea8405876e3f2fe4","Eukaryota;Chordata;Actinopteri"
"da501a2c6084e17a2f2ec97f7dc78664","Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Taeniacanthidae;NA;NA"
"c47981513ad59f91ca84b06ff55050b6","Eukaryota;Streptophyta;Magnoliopsida"
"408ff2b6c5f1717b70e1c6df3bdce434","Eukaryota;Arthropoda;Malacostraca;Decapoda;Pandalidae;Pandalus"
"0d53101849102d03012e1e3690b9adc3","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima"
"c5215958f9c956ac6b1ad0757f30a46e","Eukaryota"
"5f8f6c22908657f49a542146cc7fee31","Eukaryota"
