"samplename","time","sampletype","stationname","biol","tech","species_name","Nreads","station_num","station_type","model_out_name"
"PvCF_D4_09_TR1","1","PvCF","D4","9",1,"Crangon",0,4,"Diet","1_PvCF_4_9"
"PvCF_D4_09_TR2","1","PvCF","D4","9",2,"Crangon",0,4,"Diet","1_PvCF_4_9"
"PvCF_D4_10_TR1","1","PvCF","D4","10",1,"Crangon",0,4,"Diet","1_PvCF_4_10"
"PvCF_D4_10_TR2","1","PvCF","D4","10",2,"Crangon",0,4,"Diet","1_PvCF_4_10"
"PvCF_D4_10_TR3","1","PvCF","D4","10",3,"Crangon",0,4,"Diet","1_PvCF_4_10"
"PvCF_D4_11_TR1","1","PvCF","D4","11",1,"Crangon",0,4,"Diet","1_PvCF_4_11"
"PvCF_D4_12_TR2","1","PvCF","D4","12",2,"Crangon",0,4,"Diet","1_PvCF_4_12"
"PvCF_D4_12_TR3","1","PvCF","D4","12",3,"Crangon",0,4,"Diet","1_PvCF_4_12"
"PvCF_D4_13_TR1","1","PvCF","D4","13",1,"Crangon",0,4,"Diet","1_PvCF_4_13"
"PvCF_D5_01_TR1","1","PvCF","D5","1",1,"Crangon",0,5,"Diet","1_PvCF_5_1"
"PvCF_D5_01_TR2","1","PvCF","D5","1",2,"Crangon",0,5,"Diet","1_PvCF_5_1"
"PvCF_D5_01_TR3","1","PvCF","D5","1",3,"Crangon",0,5,"Diet","1_PvCF_5_1"
"PvCF_D5_02_TR1","1","PvCF","D5","2",1,"Crangon",0,5,"Diet","1_PvCF_5_2"
"PvCF_D5_02_TR2","1","PvCF","D5","2",2,"Crangon",0,5,"Diet","1_PvCF_5_2"
"PvCF_D5_02_TR3","1","PvCF","D5","2",3,"Crangon",0,5,"Diet","1_PvCF_5_2"
"PvCF_D5_03_TR1","1","PvCF","D5","3",1,"Crangon",0,5,"Diet","1_PvCF_5_3"
"PvCF_D5_04_TR1","1","PvCF","D5","4",1,"Crangon",0,5,"Diet","1_PvCF_5_4"
"PvCF_D5_04_TR2","1","PvCF","D5","4",2,"Crangon",0,5,"Diet","1_PvCF_5_4"
"PvCF_D5_04_TR3","1","PvCF","D5","4",3,"Crangon",0,5,"Diet","1_PvCF_5_4"
"PvCF_D5_05_TR1","1","PvCF","D5","5",1,"Crangon",0,5,"Diet","1_PvCF_5_5"
"PvCF_D5_05_TR2","1","PvCF","D5","5",2,"Crangon",0,5,"Diet","1_PvCF_5_5"
"PvCF_D5_05_TR3","1","PvCF","D5","5",3,"Crangon",0,5,"Diet","1_PvCF_5_5"
"PvCF_D5_06_TR1","1","PvCF","D5","6",1,"Crangon",0,5,"Diet","1_PvCF_5_6"
"PvCF_D5_07_TR1","1","PvCF","D5","7",1,"Crangon",0,5,"Diet","1_PvCF_5_7"
"PvCF_D5_07_TR2","1","PvCF","D5","7",2,"Crangon",0,5,"Diet","1_PvCF_5_7"
"PvCF_D5_07_TR3","1","PvCF","D5","7",3,"Crangon",0,5,"Diet","1_PvCF_5_7"
"PvCF_D5_08_TR1","1","PvCF","D5","8",1,"Crangon",0,5,"Diet","1_PvCF_5_8"
"PvCF_D5_08_TR2","1","PvCF","D5","8",2,"Crangon",0,5,"Diet","1_PvCF_5_8"
"PvCF_D5_08_TR3","1","PvCF","D5","8",3,"Crangon",0,5,"Diet","1_PvCF_5_8"
"PvCF_D5_09_TR1","1","PvCF","D5","9",1,"Crangon",0,5,"Diet","1_PvCF_5_9"
"PvCF_D5_09_TR2","1","PvCF","D5","9",2,"Crangon",0,5,"Diet","1_PvCF_5_9"
"PvCF_D5_09_TR3","1","PvCF","D5","9",3,"Crangon",0,5,"Diet","1_PvCF_5_9"
"PvCF_D5_10_TR1","1","PvCF","D5","10",1,"Crangon",0,5,"Diet","1_PvCF_5_10"
"PvCF_D5_11_TR1","1","PvCF","D5","11",1,"Crangon",0,5,"Diet","1_PvCF_5_11"
"PvCF_D5_11_TR2","1","PvCF","D5","11",2,"Crangon",0,5,"Diet","1_PvCF_5_11"
"PvCF_D5_11_TR3","1","PvCF","D5","11",3,"Crangon",0,5,"Diet","1_PvCF_5_11"
"PvCF_D5_12_TR1","1","PvCF","D5","12",1,"Crangon",0,5,"Diet","1_PvCF_5_12"
"PvCF_D5_12_TR2","1","PvCF","D5","12",2,"Crangon",0,5,"Diet","1_PvCF_5_12"
"PvCF_D5_12_TR3","1","PvCF","D5","12",3,"Crangon",0,5,"Diet","1_PvCF_5_12"
"PvCF_D5_13_TR1","1","PvCF","D5","13",1,"Crangon",0,5,"Diet","1_PvCF_5_13"
"PvCF_D5_14_TR1","1","PvCF","D5","14",1,"Crangon",0,5,"Diet","1_PvCF_5_14"
"PvCF_D5_14_TR2","1","PvCF","D5","14",2,"Crangon",0,5,"Diet","1_PvCF_5_14"
"PvCF_D5_14_TR3","1","PvCF","D5","14",3,"Crangon",0,5,"Diet","1_PvCF_5_14"
"PvCF_D5_15_TR1","1","PvCF","D5","15",1,"Crangon",0,5,"Diet","1_PvCF_5_15"
"PvCF_D5_16_TR1","1","PvCF","D5","16",1,"Crangon",0,5,"Diet","1_PvCF_5_16"
