"samplename","time","sampletype","station","biol","tech","species_name","Nreads","station_num","station_type","model_out_name","corrected_prop","median_prop","lower_95","upper_95","sd_prop","total_reads_sample","uncorrected_prop","expected_prop","source","sample_type","sample"
"MC_18S_RepFish_Even_R3",1,"MockCom","RepFish_Even",1,3,"Mammalia",1777,1,"MockCom2","1_MockCom_1_1",0.0626046150189381,0.0616155383110951,0.0386607644461336,0.0924795736745905,0.0137534337428818,40990,0.0433520370822152,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Skew_1_R1",1,"MockCom","RepFish_Skew_1",1,1,"Mammalia",3876,2,"MockCom2","1_MockCom_2_1",0.131827364385631,0.130425513030486,0.0891597767013957,0.181548248785824,0.0235567321543719,55336,0.0700448171172474,0.118764845605701,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R2",1,"MockCom","RepFish_Skew_1",1,2,"Mammalia",1712,2,"MockCom2","1_MockCom_2_1",0.131827364385631,0.130425513030486,0.0891597767013957,0.181548248785824,0.0235567321543719,25216,0.0678934010152284,0.118764845605701,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R3",1,"MockCom","RepFish_Skew_1",1,3,"Mammalia",2467,2,"MockCom2","1_MockCom_2_1",0.131827364385631,0.130425513030486,0.0891597767013957,0.181548248785824,0.0235567321543719,39078,0.0631301499564973,0.118764845605701,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_2_R1",1,"MockCom","RepFish_Skew_2",1,1,"Mammalia",2104,3,"MockCom2","1_MockCom_3_1",0.103680508411404,0.102667859582844,0.0679369481426104,0.146614237509638,0.0198987045842165,35874,0.0586497184590511,0.0824742268041237,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R2",1,"MockCom","RepFish_Skew_2",1,2,"Mammalia",1307,3,"MockCom2","1_MockCom_3_1",0.103680508411404,0.102667859582844,0.0679369481426104,0.146614237509638,0.0198987045842165,21387,0.0611118904007107,0.0824742268041237,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R3",1,"MockCom","RepFish_Skew_2",1,3,"Mammalia",1566,3,"MockCom2","1_MockCom_3_1",0.103680508411404,0.102667859582844,0.0679369481426104,0.146614237509638,0.0198987045842165,27638,0.0566611187495477,0.0824742268041237,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Even_R1",1,"MockCom","RepFish_Even",1,1,"Cephalopoda",5002,1,"MockCom2","1_MockCom_1_1",0.630049816327417,0.634394739454751,0.451992773535796,0.780896908642046,0.0842762493833057,48454,0.1032319313163,0.333333333333333,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R2",1,"MockCom","RepFish_Even",1,2,"Cephalopoda",3553,1,"MockCom2","1_MockCom_1_1",0.630049816327417,0.634394739454751,0.451992773535796,0.780896908642046,0.0842762493833057,34164,0.103998360847676,0.333333333333333,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R3",1,"MockCom","RepFish_Even",1,3,"Cephalopoda",4029,1,"MockCom2","1_MockCom_1_1",0.630049816327417,0.634394739454751,0.451992773535796,0.780896908642046,0.0842762493833057,40990,0.0982922664064406,0.333333333333333,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Skew_1_R1",1,"MockCom","RepFish_Skew_1",1,1,"Cephalopoda",3216,2,"MockCom2","1_MockCom_2_1",0.47522451751469,0.475382751347896,0.305933869893817,0.646818212781319,0.0878430648242626,55336,0.0581176810756108,0.182897862232779,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R2",1,"MockCom","RepFish_Skew_1",1,2,"Cephalopoda",899,2,"MockCom2","1_MockCom_2_1",0.47522451751469,0.475382751347896,0.305933869893817,0.646818212781319,0.0878430648242626,25216,0.0356519670050761,0.182897862232779,"Mock","MockCom2","RepFish_Skew_1"
