"featureid","final_taxonomy"
"cbe8b00f24f428bc31ee6231907a4d95","Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Gorgoderidae;Xystretrum;Xystretrum sp. DTJL-2000"
"828dcea7b6e4ec5c1299b7ddd0f46201","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"dcb139ef4569defcccc83f42e70e07bf","Eukaryota;Streptophyta;Magnoliopsida"
"e393993ba11e3725341fb1bef6038b67","Eukaryota"
"e557e7f5381d575a29be243e609d61b5","Eukaryota;Arthropoda;Hexanauplia"
"34ced73515c9dddcb52df8e6026a12ac","Eukaryota;Chordata"
"e2427b759692866b8dffb9d67795eee1","Eukaryota;Streptophyta"
"a5a970ee511a33f10be22a190160ddbc","Eukaryota"
"0f728620b1fa942ebb91accae196b9f9","Eukaryota;Bacillariophyta;Bacillariophyceae"
"21ec68a0b647bffd74ecdf937bf85d24","Eukaryota"
"985ce93fa2526bdf36ab2389462c138b","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"4b5d35550727347320e8dc6387b687ed","Eukaryota"
"02340f31d29b29f87eb1912afbf83aa9","Eukaryota"
"9b9ba0fd1ace92dc4cfbacd1a3aae34c","Eukaryota"
"c1e357bbee3280ac61e2c14a29b073b6","Eukaryota;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Lebbeus;NA"
"e8a260b325b426f6d15095e7f47ffac7","Eukaryota;Sanchytriomycota;Sanchytriomycetes;Sanchytriales;Sanchytriaceae;Sanchytrium;Sanchytrium tribonematis"
"6d8ddfb72cc516dc3e23d4f7090423a2","Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neotrypaea;Neotrypaea californiensis"
"60d210e30484fdaff92ae05be378215e","Eukaryota;Streptophyta"
"06547ace5b31c9a2047de75378a16dd7","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"01b91d9faa53f7116a7f3680ee5112b8","Eukaryota"
"0ebd04c23aab850a031070ed18fe7de2","Eukaryota;Bacillariophyta;Bacillariophyceae"
"448a050ed24c3fb716518a7668855aa3","Eukaryota"
"b4dd338c117b35a2819ec7e58092f842","Eukaryota"
"1f107bc2115a576ef0f63bf647da5732","Eukaryota"
"b978b887af4882ab04208242de4322c1","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"c9d01c81952babbc61d6914bdf538208","Eukaryota;Bacillariophyta;Bacillariophyceae"
"f138e926ecdaf076f97d4efc50518ef6","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"263b32ec07800fb0a46911d612aaf222","Eukaryota"
"08e29ea98ac80fa35ef3dc28ef26b4d2","Eukaryota;Mollusca;Cephalopoda;Oegopsida;Gonatidae"
"31d6e00dfdef8adb529aa371b3783343","Eukaryota;Arthropoda;Malacostraca;Decapoda;Cancridae;Metacarcinus;Metacarcinus magister"
"85c6837c24d6ad8819028e6dfbcb8a61","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima"
"197bc7d605914a6a786af05711567283","Eukaryota;Chordata"
"5a265f903290017fd440e09361659f74","Eukaryota;Ascomycota;Eurotiomycetes"
"25ee747f171a2d53e8a3afb8a8535cf5","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"80384f8d61c1d4ea9cef284ce25a93b3","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"301c5af124ee1bed416901ca643be551","Eukaryota;Ascomycota;Eurotiomycetes"
"70a388f3bb011bf51ccd06fd04f03aa1","Eukaryota;Arthropoda"
"d9ca16a7b89ff80d85c830de9a027df2","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"8d14a7e218cc6b4227e1979cd6269375","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"e9c7d6107718e9131da6bda803cc6bee","Eukaryota;Platyhelminthes;Catenulida;NA;Stenostomidae;Stenostomum;Stenostomum leucops"
"2d7e85f378e9443ce09cf681e543d34e","Eukaryota"
"75a59b4ddd0a06e3e970c44f4f2fea8a","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"e924f86d5284640ce58832e149acbcb1","Eukaryota"
"606a93ea72dee7d16b1a0a1fda3a4b9f","Eukaryota"
"e4cf085f584d59ec94d0b372dc0fe175","Eukaryota"
"e23aadce730221994f717c727a707c70","Eukaryota"
"5e89dac573c01892faf8948ae9fcc188","Eukaryota"
"e8bcec1b70a300fc19560c859acb7a0c","Eukaryota;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Klebsormidiaceae;Klebsormidium;Klebsormidium vermiculatum"
"02e56e59f68051fe1782029e38011594","Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales"
"a3b32069df64df3b69eb75b51b68d4ac","Eukaryota;Apicomplexa"
"ba0ca6287ae38997630cae296c487919","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"fe7fe2ddfc9e8bd8fb9a07b61c1e3d5e","Eukaryota;Cnidaria;Anthozoa;Actiniaria;Capneidae;Capnea"
"2853efdbc988f67c23bc6069322adb59","Eukaryota;Bacillariophyta;Bacillariophyceae"
"559c804f706bfbe9abdd2e6545dea584","Eukaryota"
