feature_id	Taxon
5310ebeadd93727c7d2d4077b5ff9e80	Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Osphranter;Osphranter robustus
6887a995df4be957e2f0491284152463	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Artedius;Artedius lateralis
ec650133baefd2eee65d4f48f614a4ab	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus gorbuscha
78502482cc9b0a21c062c9fec96aa87e	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
1b6c939d8aee4ce7a051a01eefe9248f	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
ded54cf4545409405c961b74f1044826	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch
42d0ad625c45d68bd9c2982d80910500	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
3c85314978da4e4cd3ff0cb1338d9d55	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
2fb2b8f9a1e92e19342e2c3f1508887c	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
02afebb71268594917fa69fbc6637889	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
f9c9ddd53a2dd584cf8f1b279d93837c	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
53f066b012030f00de605e68d1b6c1fa	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
5818b67073c8dd47be317bba32c0dbfc	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
ece106fa5eaa83f047b27df93666857d	Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Chirolophis
0e247c256f331f6d3ea43f44b4a27fb7	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar
ab9864f4ff7aa6feea054320606fc547	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
e90ed8e93ac72f870318822e2cd09d17	Eukaryota;Chordata;Actinopteri;Perciformes;Gasterosteidae;Gasterosteus;Gasterosteus aculeatus
efb735988829bd873b19559459770b4e	Eukaryota;Chordata;Actinopteri;Perciformes;Gasterosteidae;Gasterosteus;Gasterosteus aculeatus
9bb7ab27a5822b99d65064a06b224f56	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca
742d8395bc91e896c597e64727dabfe0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
8cc03c6019b94cbdc89f0f44f10ebb69	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
83dcc94224261443eb9327c9424cc486	Eukaryota;Chordata;Actinopteri;Perciformes;Zoarcidae
2f9f38a3b91b6800b08ea0d567e20634	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
ae3bfbb2519bddbbe2adaed2bb99f239	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
d5718cdff16821411069cc8fc506e687	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
6d97bd884ad918434da43aa53963f656	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca
822c2e20d105793015c00696aeb5c616	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Radulinus;Radulinus asprellus
acb5819c8abfde4d7ab43742dbf3c9a9	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus borealis
d896d24840b53652c7bbd4b113d3c007	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca
8a42ebc147b64524d5c799b3a56ad44c	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
e82129226b2e021432582bb147c69e0c	Eukaryota;Chordata;Actinopteri;Osmeriformes;Salangidae;Mallotus;Mallotus villosus
1250979a5e8ac5ad247e7e1c793aa015	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Enophrys;Enophrys bison
9b5ce7c74a19d39d7f0367ed7ef76471	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
b68f65a31a69fb168c1e27439a4456e2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
fbbbb6a0dface27446e5759e02276d92	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
c093dc5d3771be0b8dc17591f18a7b43	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca
f64255a6fb7a61e5b532d08061b29b95	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus asper
bf9a21f5063c0e57326aece29462b3b4	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Platichthys;Platichthys stellatus
021c7e403878b18edb8adee2df13e092	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
58721cce656394f557ef86baa5878836	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
15dafcc14e740c03cd30274d3344c5cb	Eukaryota;Chordata;Actinopteri;Perciformes;Agonidae;Nautichthys;Nautichthys oculofasciatus
cf538bb5c019807f02a54ac8193c52c3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
d8d474bef2a288b3d25d7dff63a1fa75	Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus
2dab3068cb6092ddac37141ccf003888	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
3661f057ba20bc4e7077af5d52405569	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus
b214c423ed11aa5e2266e9feb1163f79	Eukaryota;Chordata;Actinopteri;Osmeriformes;Salangidae;Mallotus;Mallotus villosus
cd640d92e6d6eb6c60bb8112a7c82754	Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus sagitta
95f9216b119e4f392d0b551e6f579873	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
66e02c362022f0a4ce876daba97ea667	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca
b7b5c3af056fb798ffd2dc38c0e539f8	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
da5cd41cfbb64d790a6d37d6f92c049a	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
4b596417d79fa29200b1d5a735acba7f	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus
ab1a2e4db410260fa2ed05004e7561b1	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch
b498fb2700ee6abb4ed4bd2cc0f07247	Eukaryota;Chordata
cbfc19bb89ee980814fce06fdfc0285e	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
b9131eea7ab018c1a939c3cf6e2b3321	Eukaryota;Chordata;Actinopteri;Osmeriformes;Salangidae;Mallotus;Mallotus villosus
7c85530ac6c01e38104f1a0f02ad0c52	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca
fc80fa035850c9d62174c12b997a8212	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
