"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","Species","expected_prop","has_multiple_seals","seal_1","seal_2","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop"
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",2.1,1.8,3.52,3.34,0.596590909090909,0.538922155688623
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",2.1,1.8,3.52,3.34,0.596590909090909,0.538922155688623
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",2.1,1.8,3.52,3.34,0.596590909090909,0.538922155688623
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.36,0.37,3.52,3.34,0.102272727272727,0.110778443113772
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.36,0.37,3.52,3.34,0.102272727272727,0.110778443113772
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.36,0.37,3.52,3.34,0.102272727272727,0.110778443113772
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934
"PvCF_D1_08","PvCF_D1_08_TR1","1_PvCF_1_8",1,"PvCF","D1",1,8,1,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.7,0.9,3.52,3.34,0.198863636363636,0.269461077844311
"PvCF_D1_08","PvCF_D1_08_TR2","1_PvCF_1_8",1,"PvCF","D1",1,8,2,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.7,0.9,3.52,3.34,0.198863636363636,0.269461077844311
"PvCF_D1_08","PvCF_D1_08_TR3","1_PvCF_1_8",1,"PvCF","D1",1,8,3,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.7,0.9,3.52,3.34,0.198863636363636,0.269461077844311
"PvCF_D1_08","PvCF_D1_08_TR1","1_PvCF_1_8",1,"PvCF","D1",1,8,1,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
"PvCF_D1_08","PvCF_D1_08_TR2","1_PvCF_1_8",1,"PvCF","D1",1,8,2,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
"PvCF_D1_08","PvCF_D1_08_TR3","1_PvCF_1_8",1,"PvCF","D1",1,8,3,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
