diet,date,seal_id,diet_sp,expected_prop,actual_mass,total_mass
D4,20241101,Pym,capelin,0.2,0.52,2.6
D4,20241101,Pym,salmon_2,0.2,0.52,2.6
D4,20241101,Pym,squid,0.2,0.52,2.6
D4,20241101,Pym,prawn,0.2,0.52,2.6
D4,20241101,Pym,hake,0,0,2.6
D4,20241102,DaVinci,herring,0.2,0.84,4.2
D4,20241102,DaVinci,capelin,0.2,0.84,4.2
D4,20241102,DaVinci,salmon_2,0.2,0.84,4.2
D4,20241102,DaVinci,squid,0.2,0.84,4.2
D4,20241102,DaVinci,prawn,0.2,0.84,4.2
D4,20241102,DaVinci,hake,0,0,4.2
D4,20241102,Pym,herring,0.2,0.52,2.6
D4,20241102,Pym,capelin,0.2,0.52,2.6
D4,20241102,Pym,salmon_2,0.2,0.52,2.6
D4,20241102,Pym,squid,0.2,0.52,2.6
D4,20241102,Pym,prawn,0.2,0.52,2.6
D4,20241102,Pym,hake,0,0,2.6
D4,20241103,DaVinci,herring,0.2,0.84,4.2
D4,20241103,DaVinci,capelin,0.2,0.84,4.2
D4,20241103,DaVinci,salmon_2,0.2,0.84,4.2
D4,20241103,DaVinci,squid,0.2,0.84,4.2
D4,20241103,DaVinci,prawn,0.2,0.84,4.2
D4,20241103,DaVinci,hake,0,0,4.2
D4,20241103,Pym,herring,0.2,0.52,2.6
D4,20241103,Pym,capelin,0.2,0.52,2.6
D4,20241103,Pym,salmon_2,0.2,0.52,2.6
D4,20241103,Pym,squid,0.2,0.52,2.6
D4,20241103,Pym,prawn,0.2,0.52,2.6
D4,20241103,Pym,hake,0,0,2.6
D5,20241126,Jessica,herring,0.3,1.17,3.91
D5,20241126,Jessica,capelin,0,0,3.91
D5,20241126,Jessica,salmon_2,0.05,0.2,3.91
D5,20241126,Jessica,squid,0.15,0.59,3.91
D5,20241126,Jessica,prawn,0.1,0.39,3.91
D5,20241126,Jessica,hake,0.4,1.56,3.91
D5,20241126,Pym,herring,0.3,0.93,3.11
D5,20241126,Pym,capelin,0,0,3.11
D5,20241126,Pym,salmon_2,0.05,0.16,3.11
D5,20241126,Pym,squid,0.15,0.47,3.11
D5,20241126,Pym,prawn,0.1,0.31,3.11
D5,20241126,Pym,hake,0.4,1.24,3.11
D5,20241127,Jessica,herring,0.3,1.17,3.91
D5,20241127,Jessica,capelin,0,0,3.91
D5,20241127,Jessica,salmon_2,0.05,0.2,3.91
D5,20241127,Jessica,squid,0.15,0.59,3.91
D5,20241127,Jessica,prawn,0.1,0.39,3.91
D5,20241127,Jessica,hake,0.4,1.56,3.91
D5,20241127,Pym,herring,0.3,0.93,3.11
D5,20241127,Pym,capelin,0,0,3.11
D5,20241127,Pym,salmon_2,0.05,0.16,3.11
D5,20241127,Pym,squid,0.15,0.47,3.11
D5,20241127,Pym,prawn,0.1,0.31,3.11
D5,20241127,Pym,hake,0.4,1.24,3.11
