sampleid	well_position	project
18QY0350	B-H07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0351	B-A08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0352	B-B08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0353	B-C08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0354	B-D08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0355	B-E08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0356	B-F08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0357	B-G08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0358	B-H08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0359	B-A09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0360	B-B09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0361	B-C09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0362	B-D09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0363	B-E09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0364	B-F09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0365	B-G09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0366	B-H09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0367	B-A10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0368	B-B10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0369	B-C10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0370	B-D10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0371	B-E10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0372	B-F10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0373	B-G10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0374	B-H10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0375	B-A11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0376	B-B11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0377	B-C11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0378	B-D11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0379	B-E11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0380	B-F11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0381	B-G11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0382	B-H11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0383	B-A12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0384	B-B12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0385	B-C12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0386	B-D12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0387_1	B-E12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0387_2	B-F12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0387_3	B-G12	HarborSealScat_HS_5-6_SPID.0185-0186
Kang_HS_06	B-H12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_551_A	C-A01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_552_A	C-B01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_553_A	C-C01	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_554_A	C-D01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_555_A	C-E01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_556_A	C-F01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_557_A	C-G01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_558_A	C-H01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_559_A	C-A02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_560_A	C-B02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_561_A	C-C02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_562_A	C-D02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_563_A	C-E02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_564_A	C-F02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_575_A	C-G02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_576_A	C-H02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_577_A	C-A03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_578_A	C-B03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_579_A	C-C03	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_580_A	C-D03	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_581_A	C-E03	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_582_A	C-F03	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_583_A	C-G03	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_584_A	C-H03	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_588_A	C-A04	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_590_A	C-B04	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_595_A	C-C04	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_597_A	C-D04	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_600_A	C-E04	HarborSealScat_HS_5-6_SPID.0185-0186
