"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","species_list","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop","expected_prop","has_multiple_seals"
"PvCF_D1_08","PvCF_D1_08_TR2","1_PvCF_1_8",1,"PvCF","D1",1,8,2,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934,0.1,TRUE
"PvCF_D1_08","PvCF_D1_08_TR2","1_PvCF_1_8",1,"PvCF","D1",1,8,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.34,0,0,0,TRUE
"PvCF_D1_08","PvCF_D1_08_TR3","1_PvCF_1_8",1,"PvCF","D1",1,8,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.07,3.52,3.34,0.897727272727273,0.919161676646707,0.9,TRUE
"PvCF_D1_08","PvCF_D1_08_TR3","1_PvCF_1_8",1,"PvCF","D1",1,8,3,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934,0.1,TRUE
"PvCF_D1_08","PvCF_D1_08_TR3","1_PvCF_1_8",1,"PvCF","D1",1,8,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.34,0,0,0,TRUE
"PvCF_D1_09","PvCF_D1_09_TR1","1_PvCF_1_9",1,"PvCF","D1",1,9,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.16,3.52,3.52,0.897727272727273,0.897727272727273,0.9,TRUE
"PvCF_D1_09","PvCF_D1_09_TR1","1_PvCF_1_9",1,"PvCF","D1",1,9,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.36,3.52,3.52,0.102272727272727,0.102272727272727,0.1,TRUE
"PvCF_D1_09","PvCF_D1_09_TR1","1_PvCF_1_9",1,"PvCF","D1",1,9,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.52,0,0,0,TRUE
"PvCF_D1_09","PvCF_D1_09_TR2","1_PvCF_1_9",1,"PvCF","D1",1,9,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.16,3.52,3.52,0.897727272727273,0.897727272727273,0.9,TRUE
"PvCF_D1_09","PvCF_D1_09_TR2","1_PvCF_1_9",1,"PvCF","D1",1,9,2,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.36,3.52,3.52,0.102272727272727,0.102272727272727,0.1,TRUE
"PvCF_D1_09","PvCF_D1_09_TR2","1_PvCF_1_9",1,"PvCF","D1",1,9,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.52,0,0,0,TRUE
"PvCF_D1_09","PvCF_D1_09_TR3","1_PvCF_1_9",1,"PvCF","D1",1,9,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.16,3.52,3.52,0.897727272727273,0.897727272727273,0.9,TRUE
"PvCF_D1_09","PvCF_D1_09_TR3","1_PvCF_1_9",1,"PvCF","D1",1,9,3,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.36,3.52,3.52,0.102272727272727,0.102272727272727,0.1,TRUE
"PvCF_D1_09","PvCF_D1_09_TR3","1_PvCF_1_9",1,"PvCF","D1",1,9,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.52,0,0,0,TRUE
"PvCF_D1_10","PvCF_D1_10_TR1","1_PvCF_1_10",1,"PvCF","D1",1,10,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.16,3.52,3.52,0.897727272727273,0.897727272727273,0.9,TRUE
"PvCF_D1_10","PvCF_D1_10_TR1","1_PvCF_1_10",1,"PvCF","D1",1,10,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.36,3.52,3.52,0.102272727272727,0.102272727272727,0.1,TRUE
"PvCF_D1_10","PvCF_D1_10_TR1","1_PvCF_1_10",1,"PvCF","D1",1,10,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.52,0,0,0,TRUE
"PvCF_D1_11","PvCF_D1_11_TR1","1_PvCF_1_11",1,"PvCF","D1",1,11,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.16,3.52,3.52,0.897727272727273,0.897727272727273,0.9,TRUE
"PvCF_D1_11","PvCF_D1_11_TR1","1_PvCF_1_11",1,"PvCF","D1",1,11,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.36,3.52,3.52,0.102272727272727,0.102272727272727,0.1,TRUE
"PvCF_D1_11","PvCF_D1_11_TR1","1_PvCF_1_11",1,"PvCF","D1",1,11,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.52,0,0,0,TRUE
"PvCF_D1_11","PvCF_D1_11_TR2","1_PvCF_1_11",1,"PvCF","D1",1,11,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.16,3.52,3.52,0.897727272727273,0.897727272727273,0.9,TRUE
"PvCF_D1_11","PvCF_D1_11_TR2","1_PvCF_1_11",1,"PvCF","D1",1,11,2,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.36,3.52,3.52,0.102272727272727,0.102272727272727,0.1,TRUE
"PvCF_D1_11","PvCF_D1_11_TR2","1_PvCF_1_11",1,"PvCF","D1",1,11,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.52,0,0,0,TRUE
"PvCF_D1_11","PvCF_D1_11_TR3","1_PvCF_1_11",1,"PvCF","D1",1,11,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.16,3.52,3.52,0.897727272727273,0.897727272727273,0.9,TRUE
"PvCF_D1_11","PvCF_D1_11_TR3","1_PvCF_1_11",1,"PvCF","D1",1,11,3,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.36,3.52,3.52,0.102272727272727,0.102272727272727,0.1,TRUE
"PvCF_D1_11","PvCF_D1_11_TR3","1_PvCF_1_11",1,"PvCF","D1",1,11,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.52,0,0,0,TRUE
"PvCF_D1_12","PvCF_D1_12_TR1","1_PvCF_1_12",1,"PvCF","D1",1,12,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,2.96,3.52,3.28,0.897727272727273,0.902439024390244,0.9,TRUE
"PvCF_D1_12","PvCF_D1_12_TR1","1_PvCF_1_12",1,"PvCF","D1",1,12,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.32,3.52,3.28,0.102272727272727,0.0975609756097561,0.1,TRUE
"PvCF_D1_12","PvCF_D1_12_TR1","1_PvCF_1_12",1,"PvCF","D1",1,12,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.28,0,0,0,TRUE
"PvCF_D1_13","PvCF_D1_13_TR1","1_PvCF_1_13",1,"PvCF","D1",1,13,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,2.96,3.52,3.28,0.897727272727273,0.902439024390244,0.9,TRUE
"PvCF_D1_13","PvCF_D1_13_TR1","1_PvCF_1_13",1,"PvCF","D1",1,13,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.32,3.52,3.28,0.102272727272727,0.0975609756097561,0.1,TRUE
"PvCF_D1_13","PvCF_D1_13_TR1","1_PvCF_1_13",1,"PvCF","D1",1,13,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.28,0,0,0,TRUE
"PvCF_D1_13","PvCF_D1_13_TR2","1_PvCF_1_13",1,"PvCF","D1",1,13,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,2.96,3.52,3.28,0.897727272727273,0.902439024390244,0.9,TRUE
"PvCF_D1_13","PvCF_D1_13_TR2","1_PvCF_1_13",1,"PvCF","D1",1,13,2,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.32,3.52,3.28,0.102272727272727,0.0975609756097561,0.1,TRUE
"PvCF_D1_13","PvCF_D1_13_TR2","1_PvCF_1_13",1,"PvCF","D1",1,13,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.28,0,0,0,TRUE
"PvCF_D1_13","PvCF_D1_13_TR3","1_PvCF_1_13",1,"PvCF","D1",1,13,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,2.96,3.52,3.28,0.897727272727273,0.902439024390244,0.9,TRUE
"PvCF_D1_13","PvCF_D1_13_TR3","1_PvCF_1_13",1,"PvCF","D1",1,13,3,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.32,3.52,3.28,0.102272727272727,0.0975609756097561,0.1,TRUE
"PvCF_D1_13","PvCF_D1_13_TR3","1_PvCF_1_13",1,"PvCF","D1",1,13,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.28,0,0,0,TRUE
"PvCF_D1_14","PvCF_D1_14_TR1","1_PvCF_1_14",1,"PvCF","D1",1,14,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,2.96,3.52,3.28,0.897727272727273,0.902439024390244,0.9,TRUE
"PvCF_D1_14","PvCF_D1_14_TR1","1_PvCF_1_14",1,"PvCF","D1",1,14,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.32,3.52,3.28,0.102272727272727,0.0975609756097561,0.1,TRUE
"PvCF_D1_14","PvCF_D1_14_TR1","1_PvCF_1_14",1,"PvCF","D1",1,14,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.28,0,0,0,TRUE
"PvCF_D1_15","PvCF_D1_15_TR1","1_PvCF_1_15",1,"PvCF","D1",1,15,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,2.96,3.52,3.28,0.897727272727273,0.902439024390244,0.9,TRUE
"PvCF_D1_15","PvCF_D1_15_TR1","1_PvCF_1_15",1,"PvCF","D1",1,15,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.32,3.52,3.28,0.102272727272727,0.0975609756097561,0.1,TRUE
"PvCF_D1_15","PvCF_D1_15_TR1","1_PvCF_1_15",1,"PvCF","D1",1,15,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.28,0,0,0,TRUE
"PvCF_D2_01","PvCF_D2_01_TR1","1_PvCF_2_1",1,"PvCF","D2",2,1,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus keta",1.64,2.68,1.72,2.78,0.953488372093023,0.964028776978417,0.95,TRUE
"PvCF_D2_01","PvCF_D2_01_TR1","1_PvCF_2_1",1,"PvCF","D2",2,1,1,"squid","Cephalopoda","Doryteuthis opalescens",0.08,0.1,1.72,2.78,0.0465116279069767,0.0359712230215827,0.05,TRUE
"PvCF_D2_01","PvCF_D2_01_TR1","1_PvCF_2_1",1,"PvCF","D2",2,1,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,1.72,2.78,0,0,0,TRUE
"PvCF_D2_01","PvCF_D2_01_TR2","1_PvCF_2_1",1,"PvCF","D2",2,1,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus keta",1.64,2.68,1.72,2.78,0.953488372093023,0.964028776978417,0.95,TRUE
"PvCF_D2_01","PvCF_D2_01_TR2","1_PvCF_2_1",1,"PvCF","D2",2,1,2,"squid","Cephalopoda","Doryteuthis opalescens",0.08,0.1,1.72,2.78,0.0465116279069767,0.0359712230215827,0.05,TRUE
"PvCF_D2_01","PvCF_D2_01_TR2","1_PvCF_2_1",1,"PvCF","D2",2,1,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,1.72,2.78,0,0,0,TRUE
"PvCF_D2_01","PvCF_D2_01_TR3","1_PvCF_2_1",1,"PvCF","D2",2,1,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus keta",1.64,2.68,1.72,2.78,0.953488372093023,0.964028776978417,0.95,TRUE
"PvCF_D2_01","PvCF_D2_01_TR3","1_PvCF_2_1",1,"PvCF","D2",2,1,3,"squid","Cephalopoda","Doryteuthis opalescens",0.08,0.1,1.72,2.78,0.0465116279069767,0.0359712230215827,0.05,TRUE
"PvCF_D2_01","PvCF_D2_01_TR3","1_PvCF_2_1",1,"PvCF","D2",2,1,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,1.72,2.78,0,0,0,TRUE
"PvCF_D2_02","PvCF_D2_02_TR1","1_PvCF_2_2",1,"PvCF","D2",2,2,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus keta",1.64,2.68,1.72,2.78,0.953488372093023,0.964028776978417,0.95,TRUE
"PvCF_D2_02","PvCF_D2_02_TR1","1_PvCF_2_2",1,"PvCF","D2",2,2,1,"squid","Cephalopoda","Doryteuthis opalescens",0.08,0.1,1.72,2.78,0.0465116279069767,0.0359712230215827,0.05,TRUE
"PvCF_D2_02","PvCF_D2_02_TR1","1_PvCF_2_2",1,"PvCF","D2",2,2,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,1.72,2.78,0,0,0,TRUE
