SampleID,Date,Time,Diet,Seal_ID_1,Seal_ID_2,Scat_details,Tech_rep,PCR_ID
PvCF_D4_03,20241029,14:12,4,DaVinci,Pym,Pool,1,PvCF_D4_03_TR1
PvCF_D4_03,20241029,14:12,4,DaVinci,Pym,Pool,2,PvCF_D4_03_TR2
PvCF_D4_03,20241029,14:12,4,DaVinci,Pym,Pool,3,PvCF_D4_03_TR3
PvCF_D4_04,20241030,9:00,4,DaVinci,Pym,Pool,1,PvCF_D4_04_TR1
PvCF_D4_04,20241030,9:00,4,DaVinci,Pym,Pool,2,PvCF_D4_04_TR2
PvCF_D4_04,20241030,9:00,4,DaVinci,Pym,Pool,3,PvCF_D4_04_TR3
PvCF_D4_05,20241030,9:00,4,DaVinci,Pym,Pool,1,PvCF_D4_05_TR1
PvCF_D4_05,20241030,9:00,4,DaVinci,Pym,Pool,2,PvCF_D4_05_TR2
PvCF_D4_05,20241030,9:00,4,DaVinci,Pym,Pool,3,PvCF_D4_05_TR3
PvCF_D4_06,20241031,9:30,4,DaVinci,Pym,Pool,1,PvCF_D4_06_TR1
PvCF_D4_06,20241031,9:30,4,DaVinci,Pym,Pool,2,PvCF_D4_06_TR2
PvCF_D4_06,20241031,9:30,4,DaVinci,Pym,Pool,3,PvCF_D4_06_TR3
PvCF_D4_07,20241031,9:30,4,DaVinci,Pym,Pool,1,PvCF_D4_07_TR1
PvCF_D4_07,20241031,9:30,4,DaVinci,Pym,Pool,2,PvCF_D4_07_TR2
PvCF_D4_07,20241031,9:30,4,DaVinci,Pym,Pool,3,PvCF_D4_07_TR3
PvCF_D4_08,20241101,14:00,4,DaVinci,Pym,Pool,1,PvCF_D4_08_TR1
PvCF_D4_08,20241101,14:00,4,DaVinci,Pym,Pool,2,PvCF_D4_08_TR2
PvCF_D4_08,20241101,14:00,4,DaVinci,Pym,Pool,3,PvCF_D4_08_TR3
PvCF_D4_09,20241101,14:00,4,DaVinci,Pym,Pool,1,PvCF_D4_09_TR1
PvCF_D4_09,20241101,14:00,4,DaVinci,Pym,Pool,2,PvCF_D4_09_TR2
PvCF_D4_09,20241101,14:00,4,DaVinci,Pym,Pool,3,PvCF_D4_09_TR3
PvCF_D4_10,20241102,11:00,4,DaVinci,Pym,Pool,1,PvCF_D4_10_TR1
PvCF_D4_10,20241102,11:00,4,DaVinci,Pym,Pool,2,PvCF_D4_10_TR2
PvCF_D4_10,20241102,11:00,4,DaVinci,Pym,Pool,3,PvCF_D4_10_TR3
PvCF_D4_11,20241102,11:00,4,DaVinci,Pym,Pool,1,PvCF_D4_11_TR1
PvCF_D4_11,20241102,11:00,4,DaVinci,Pym,Pool,2,PvCF_D4_11_TR2
PvCF_D4_11,20241102,11:00,4,DaVinci,Pym,Pool,3,PvCF_D4_11_TR3
PvCF_D4_12,20241103,8:45,4,DaVinci,Pym,Pool,1,PvCF_D4_12_TR1
PvCF_D4_12,20241103,8:45,4,DaVinci,Pym,Pool,2,PvCF_D4_12_TR2
PvCF_D4_12,20241103,8:45,4,DaVinci,Pym,Pool,3,PvCF_D4_12_TR3
PvCF_D4_13,20241103,8:45,4,DaVinci,Pym,Pool,1,PvCF_D4_13_TR1
PvCF_D4_13,20241103,8:45,4,DaVinci,Pym,Pool,2,PvCF_D4_13_TR2
PvCF_D4_13,20241103,8:45,4,DaVinci,Pym,Pool,3,PvCF_D4_13_TR3
PvCF_D5_01,20241126,12:10,5,Jessica,Pym,Deck,1,PvCF_D5_01_TR1
PvCF_D5_01,20241126,12:10,5,Jessica,Pym,Deck,2,PvCF_D5_01_TR2
PvCF_D5_01,20241126,12:10,5,Jessica,Pym,Deck,3,PvCF_D5_01_TR3
